model_id,model_make_id,model_name,model_trim,model_year,model_body,model_engine_position,model_engine_cc,model_engine_cyl,model_engine_type,model_engine_valves_per_cyl,model_engine_power_ps,model_engine_power_rpm,model_engine_torque_nm,model_engine_torque_rpm,model_engine_bore_mm,model_engine_stroke_mm,model_engine_compression,model_engine_fuel,model_top_speed_kph,model_0_to_100_kph,model_drive,model_transmission_type,model_seats,model_doors,model_weight_kg,model_length_mm,model_width_mm,model_height_mm,model_wheelbase_mm,model_lkm_hwy,model_lkm_mixed,model_lkm_city,model_fuel_cap_l,model_sold_in_us,model_co2,model_make_display,make_display,make_country
"139","abarth","205","A Berlinetta GT","1951","","Front","1188","4","in-line","","65","5500","","","71.0","74.9","","Gasoline","170","","Rear","Manual","2","2","818","3500","1430","1250","2110","","","","27","0","","Abarth","Abarth","Italy"
"185","ac","2-Litre","","1948","","Front","1991","6","in-line","2","77","4500","137","2500","65.0","100.0","","Gasoline","","","Rear","Manual","5","2","1320","4680","1710","1560","2980","","","","52","1","","AC","AC","UK"
"47856","acura","Integra","1.5 3 Door","1986","Hatchback","Front","1500","4","in-line","","115","","","","","","","Gasoline","","","Front","Manual","5","3","","4285","1665","1290","2450","","","","","1","","Acura","Acura","USA"
"48586","alfa-romeo","6C","","1941","","Front","2442","6","in-line","2","90","4600","","","72.0","100.0","","Gasoline","","","Rear","Manual","5","4","1500","4880","1840","1510","3010","","","","77","0","","Alfa Romeo","Alfa Romeo","Italy"
"1377","allard","J1","","1946","","Front","3622","8","in-line","2","86","3800","203","1500","","","7.5:1","Gasoline","132","","Rear","Manual","","2","1020","3690","1480","1510","2440","","","","","0","","Allard","Allard","UK"
"1495","alpina","2002","tii","1973","","Front","1991","4","in-line","","","","","","","","","Gasoline","","","Rear","","","","980","4240","1600","1420","2510","","","","","1","","Alpina","Alpina","UK"
"1509","alpine","A 106","","1955","Coupe","Rear","747","4","in-line","2","20","4000","45","2000","","","","Gasoline","","","Rear","Manual","","2","530","3700","1450","1280","2110","","","","28","0","","Alpine","Alpine","Germany"
"1572","alvis","TA 14","","1945","","Front","1892","4","in-line","","65","4000","","","74.0","110.0","","","129","","Rear","Manual","2","2","1447","4430","1680","","2750","","","","","0","","Alvis","Alvis","UK"
"1597","amc","AMX","","1968","","Front","6386","8","V","","319","4600","576","3200","105.8","90.8","10.2:1","","230","","Rear","Automatic","2","2","1377","4510","1830","1320","2470","","","","","1","","AMC","AMC","USA"
"1628","ariel","Atom","","2000","Roadster","Rear","1589","4","in-line","4","111","5000","149","3000","","","","Gasoline","","","Rear","Manual","","","460","3420","1800","1200","2350","","","","","1","","Ariel","Ariel","UK"
"1636","armstrong-siddeley","16","","1945","","Front","1989","6","in-line","","71","4200","","","65.0","100.0","7.0:1","","","","Rear","Manual","5","","1525","4770","1730","","2930","","","","","0","","Armstrong Siddeley","Armstrong Siddeley","UK"
"1649","ascari","FG-T","","1992","","Middle","4600","8","V","4","290","","","","","","","Gasoline","281","","Rear","Automatic","2","2","","","","","","","","","","0","","Ascari","Ascari","UK"
"1703","aston-martin","15","","1941","","Front","1950","4","in-line","2","","","","","","","","Gasoline","","","Rear","Manual","","","1120","","","","","","","","","1","","Aston Martin","Aston Martin","UK"
"2888","audi","Variant","","1966","","Front","1696","4","in-line","","72","5000","128","2800","80.0","84.4","10.6:1","Gasoline","","","Front","","","","1070","4390","1630","1460","2500","","","","","0","","Audi","Audi","Germany"
"3460","austin","8","","1941","","Front","1125","4","in-line","2","","","","","","","","Gasoline","","","","","","","","","","","","","","","","0","","Austin","Austin","UK"
"3724","austin-healey","100","","1952","","Front","2660","4","in-line","2","90","4000","144","2500","87.3","111.1","","Gasoline","","","Rear","Manual","2","2","945","3860","1540","1250","2290","","","","","1","","Austin-Healey","Austin-Healey","UK"
"3730","autobianchi","Bianchina","","1957","Hatchback","Rear","478","2","in-line","","16","4000","30","3400","","","","Gasoline","","","Rear","Manual","5","3","470","2990","1350","1330","1850","","","","","0","","Autobianchi","Autobianchi","Italy"
"3801","auverland","A3","L","1990","","Front","1905","4","in-line","","","","","","","","","","","","4WD","","2","","","","","","","","","","","0","","Auverland","Auverland","France"
"3842","avanti","Avanti","","1965","","Front","5354","8","in-line","","258","5000","488","3400","","","10.5:1","Gasoline","220","","Rear","Manual","4","2","1460","4910","1800","1380","2780","","","","95","1","","Avanti","Avanti","USA"
"3858","beijing","BJ 212","","1964","","","2445","4","in-line","","75","3500","172","2000","","","","Gasoline","","","4WD","Manual","","","1395","3910","1760","1880","2310","","","","","0","","Beijing","Beijing","China"
"4041","bentley","MK V","","1941","","Front","5300","6","in-line","2","","","","","","","","Gasoline","","","Rear","","","","","","","","3160","","","","","1","","Bentley","Bentley","UK"
"4059","berkeley","Twosome","","1956","","Front","328","2","in-line","","15","5000","22","3500","","","","Gasoline","","","Front","Manual","","","306","3130","1280","1060","1790","","","","","1","","Berkeley","Berkeley","UK"
"4068","bitter","CD","","1973","","Front","5353","8","V","2","229","4700","427","3000","101.6","82.6","10.5:1","","209","","Rear","Automatic","4","2","1724","4860","1850","1290","2690","","","","80","1","","Bitter","Bitter","Germany"
"4108","bizzarrini","A3C","","1964","","","5354","8","in-line","","366","5800","510","3500","","","","Gasoline","","","Rear","Manual","","","1260","4470","1770","1120","2460","","","","","1","","Bizzarrini","Bizzarrini","Italy"
"4530","bmw","340","","1949","","Front","1971","6","in-line","2","54","3750","","","","","","Gasoline","","","Rear","","5","","1250","4610","1770","1640","2880","","","","","1","","BMW","BMW","Germany"
"5770","brilliance","BS4","1.6","2009","","Front","1582","4","in-line","4","100","6000","134","4500","76.0","87.3","9.5:1","Gasoline - Premium","180","13.9","Front","Manual","5","4","1475","4660","1810","1460","2800","","8.0","","74","0","","Brilliance","Brilliance","China"
"5822","bristol","450","","1946","","Front","1971","6","in-line","2","155","5500","","","66.0","96.0","","Gasoline","241","","Rear","","2","2","730","4480","1660","1530","2480","","","","54","0","","Bristol","Bristol","UK"
"6028","buick","40","","1941","","Front","4066","8","in-line","2","116","3500","","","","","","Gasoline","","","Rear","","","","1590","","","","3000","","","","","1","","Buick","Buick","USA"
"6667","cadillac","60","","1941","","Front","5672","8","V","2","150","3400","","","","","","Gasoline","","","Rear","Manual","5","","1824","5450","1920","","3230","","","","","1","","Cadillac","Cadillac","USA"
"6779","caterham","1700","Super Sprint","1985","","Front","1692","4","in-line","","137","6000","165","4500","83.3","77.6","10.5:1","","179","","Rear","Manual","2","","543","3400","1580","1090","2240","","","","","1","","Caterham","Caterham","UK"
"7798","chevrolet","Suburban","","1946","SUV","Front","0","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","Chevrolet","Chevrolet","USA"
"8323","chrysler","Thunderbolt","","1941","","Front","5300","8","in-line","2","143","3400","","","","","","Gasoline","","","Rear","Manual","","","","","","","","","","","","1","","Chrysler","Chrysler","USA"
"10082","citroen","11","","1941","","Front","1911","4","in-line","2","56","3200","","","","","","Gasoline","","","Front","Manual","5","","1120","4660","1770","1550","3100","","","","","0","","Citroen","Citroen","France"
"10304","dacia","Supernova","","2002","Hatchback","Front","1396","4","in-line","2","75","","","","","","","Gasoline","168","","Front","Manual","5","5","950","4040","1650","1400","","5.3","5.7","6.7","44","0","","Dacia","Dacia","Romania"
"10326","daewoo","Maepsy-Na","","1982","Sedan","Front","1492","4","in-line","","60","5000","100","3000","","","","Gasoline","","","Rear","Manual","5","4","924","4270","1620","1370","2410","","","","","0","","Daewoo","Daewoo","South Korea"
"10501","daf","600","","1959","","Front","590","2","in-line","","19","4000","45","2500","76.0","65.0","7.1:1","Gasoline","","","Rear","","5","","630","3610","1450","1380","2060","","","","28","0","","DAF","DAF","Netherlands"
"10711","daihatsu","Bee","","1951","","Front","354","","","","20","5000","35","4000","","","","Gasoline","","","","","4","","515","3000","1290","1360","2000","","","","","0","","Daihatsu","Daihatsu","Japan"
"10904","daimler","DE 27","","1946","","Front","4095","6","in-line","","112","3600","","","","","6.3:1","","132","","Rear","Manual","5","","2540","5490","1870","","3520","","","","","1","","Daimler","Daimler","UK"
"10911","datsun","1000","","1966","","Front","988","4","in-line","","62","6000","84","4000","73.0","59.0","8.5:1","","135","","Rear","Manual","5","","625","3820","1450","1350","2290","","","","","1","","Datsun","Datsun","Japan"
"11073","dodge","WC 51","","1942","","","3770","","","","","","","","","","","Gasoline","","","","","","","2315","4360","2130","1880","","","","","","1","","Dodge","Dodge","USA"
"11783","donkervoort","S7","","1983","","Front","1998","4","in-line","","112","","163","","","","","Gasoline","170","","Rear","Automatic","","","","3570","1650","1080","","","","","","0","","Donkervoort","Donkervoort","Netherlands"
"11799","eagle","Summit","Sedan 1.5","1988","Sedan","Front","1468","4","in-line","","82","5500","123","3500","","","","Gasoline","","","Front","","5","4","1032","4330","1680","1350","2470","","","","","1","","Eagle","Eagle","USA"
"12116","ferrari","125","","1947","","Front","1498","12","in-line","2","72","5600","","","","","","Gasoline","","","Rear","Manual","2","2","750","","","","2430","","","","75","1","","Ferrari","Ferrari","Italy"
"12909","fiat","500","Topolino","1941","Coupe","Rear","569","4","in-line","","14","4000","","","","","","Gasoline","","","Rear","Manual","4","2","535","3220","1280","1380","2010","","","","","0","","Fiat","Fiat","Italy"
"52372","fisker","Karma","Eco-Chic","2011","Sedan","Front","0","","","","","","","","","","","Gasoline / Electric Hybrid","","","Rear","Single Speed","4","4","2540","4996","1984","1331","3160","","","","36","1","","Fisker","Fisker","USA"
"14728","ford","Taunus","","1941","","Front","1172","4","in-line","2","34","","","","","","","Gasoline","","","Rear","Manual","5","","834","4110","1490","1610","2390","","","","","1","","Ford","Ford","USA"
"15951","gaz","M1","","1941","","","3285","4","in-line","2","50","2800","","","","","","Gasoline","","","Rear","Manual","","","1370","4630","1780","1780","2850","","","","","0","","GAZ","GAZ","Russia"
"15959","geely","CK","1.3 GB","2008","","Front","1340","4","in-line","4","","","110","5200","78.7","69.0","9.3:1","Gasoline","","","Front","Manual","5","4","1040","","","","2440","","","","45","0","","Geely","Geely","China"
"16004","ginetta","G4","","1960","","Front","997","4","in-line","2","40","5000","71","2700","","","","","169","","Rear","Manual","2","2","445","3360","1430","1070","2050","","","","23","0","","Ginetta","Ginetta","UK"
"16130","gmc","Firebird","","1956","","Front","0","","","","","","","","","","","Gasoline","","","","","","","","","","","","","","","","1","","GMC","GMC","USA"
"16583","holden","FX","","1948","","Front","2166","6","in-line","2","52","","136","2000","","","","Gasoline","","","Rear","Manual","","","970","4380","1710","1580","2620","","","","","0","","Holden","Holden","Australia"
"17466","honda","S500","","1962","Roadster","Front","492","4","in-line","","39","8000","39","6000","","","","Gasoline","","","Rear","Manual","","2","680","3310","1440","1210","2010","","","","40","0","","Honda","Honda","Japan"
"17886","hudson","Commodore","","1949","","Front","4166","8","in-line","","130","4200","","","76.2","114.3","6.5:1","","150","","Rear","Manual","5","","1656","5280","1960","","3160","","","","","1","","Hudson","Hudson","USA"
"17912","humber","Hawk","","1948","","Front","1944","4","in-line","","56","3800","","","75.0","110.0","6.4:1","","","","Rear","Manual","5","4","1247","4480","1780","","2690","","","","45","0","","Humber","Humber","UK"
"17985","hummer","H1","","1983","SUV","Front","5733","8","in-line","","190","4000","407","2400","","","","Gasoline","","","4WD","","","","2770","4690","2200","1840","3310","","","","","1","","Hummer","Hummer","USA"
"18468","hyundai","Pony","Coupe","1974","Coupe","Front","1238","4","in-line","","83","6000","85","4000","73.0","74.0","","","","","Rear","Manual","4","2","830","4110","1570","1220","2350","","","","45","0","","Hyundai","Hyundai","South Korea"
"18703","infiniti","Q45","","1989","Sedan","Front","4494","8","V","4","281","6000","396","4000","93.1","82.7","10.2:1","Gasoline","","","Rear","Automatic","5","4","1750","5080","1830","1440","2890","","","","72","1","","Infiniti","Infiniti","Japan"
"18819","innocenti","950","","1960","","Front","946","4","in-line","","34","4750","73","2000","","","","Gasoline","","","Rear","Manual","4","","730","3670","1520","1440","2130","","","","","0","","Innocenti","Innocenti","Italy"
"18888","isuzu","Minx","PH 10","1953","","Front","1265","4","in-line","2","38","4200","","2200","","","","Gasoline","","","Rear","Manual","","","960","4070","1580","1530","2370","","","","","0","","Isuzu","Isuzu","Japan"
"19083","italdesign","Tapiro","","1970","","Middle","2400","6","boxer","2","220","7800","","","","","","Gasoline","","","Rear","Manual","","","","4070","1770","1120","","","","","","0","","Italdesign","Italdesign","Italy"
"19148","jaguar","SS","100 2700","1941","","Front","2661","6","in-line","2","","","","","","","","Gasoline","","","","","2","2","1165","3820","1600","1380","2650","","","","68","1","","Jaguar","Jaguar","UK"
"19924","jeep","MB","","1942","","Front","2198","4","in-line","2","60","3820","145","3600","","","","Gasoline","","","4WD","Manual","","","1080","3330","1460","1840","2040","","","","","1","","Jeep","Jeep","USA"
"19990","jensen","Straight 8","","1948","Sedan","Front","3860","8","in-line","","132","4300","","","85.0","85.0","","","","","Rear","Manual","5","4","1525","5110","1780","","3210","","","","86","0","","Jensen","Jensen","UK"
"20323","kia","Brisa","","1974","","Front","985","4","in-line","","54","6000","68","3500","","","","Gasoline","","","Rear","Manual","","","790","3860","1550","1400","2270","","","","","0","","Kia","Kia","South Korea"
"47726","koenigsegg","CC8S","","2002","Coupe","Middle","4719","8","V","4","664","6500","752","2000","","","8.6:1","Gasoline - Premium","389","3.6","Rear","Manual","2","2","1175","4191","1989","1069","2659","","","","","1","","Koenigsegg","Koenigsegg","Sweden"
"20606","lada","1200","Estate","1974","Sedan","Front","1198","4","in-line","","62","5600","87","3400","76.0","66.0","8.8:1","","","","Rear","Manual","5","4","996","4070","1620","1460","2430","","","","46","0","","Lada","Lada","Russia"
"20782","lamborghini","350 GT","","1964","Coupe","Front","3464","12","V","","284","6500","327","4500","77.0","62.0","9.0:1","","251","","Rear","Manual","2","2","1297","4640","1740","1230","2560","","","","","1","","Lamborghini","Lamborghini","Italy"
"21275","lancia","Aprilia","","1941","","Front","1486","4","in-line","2","","","","","","","","Gasoline","","","Rear","Manual","5","","","3970","1480","","2760","","","","","0","","Lancia","Lancia","Italy"
